"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-05,"","",18,"Indiana","All Races Combined",48008,2693,6637426,723.29,40.57,6637426,100,"Yes"
2020-07-05,"","",18,"Indiana","African American",5769,362,610343,945.21,59.31,6637426,9.2,"No"
2020-07-05,"","",18,"Indiana","White",21638,1619,5275162,410.19,30.69,6637426,79.48,"Yes"
2020-07-05,"","",18,"Indiana","Other Race",8531,326,9793,87113.24,3328.91,6637426,0.15,"No"
2020-07-05,"","",18,"Indiana","Hispanic",5475,48,450267,1215.95,10.66,6637426,6.78,"No"
2020-07-05,"","",19,"Iowa","All Races Combined",31779,721,3132499,1014.49,23.02,3132499,100,"Yes"
2020-07-05,"","",19,"Iowa","African American",2832,35,107471,2635.13,32.57,3132499,3.43,"No"
2020-07-05,"","",19,"Iowa","White",20139,574,2695888,747.03,21.29,3132499,86.06,"Yes"
2020-07-05,"","",19,"Iowa","Other Race",314,3,2806,11190.31,106.91,3132499,0.09,"No"
2020-07-05,"","",19,"Iowa","Hispanic",7552,49,183296,4120.11,26.73,3132499,5.85,"No"
2020-07-05,"","",20,"Kansas","All Races Combined",15919,277,2908776,547.27,9.52,2908776,100,"Yes"
2020-07-05,"","",20,"Kansas","African American",1341,61,163713,819.12,37.26,2908776,5.63,"No"
2020-07-05,"","",20,"Kansas","White",10177,195,2214543,459.55,8.81,2908776,76.13,"Yes"
2020-07-05,"","",20,"Kansas","Other Race",633,6,2302,27497.83,260.64,2908776,0.08,"No"
2020-07-05,"","",20,"Kansas","Hispanic",6365,33,340616,1868.67,9.69,2908776,11.71,"Yes"
2020-07-05,"","",21,"Kentucky","All Races Combined",16376,585,4440204,368.81,13.18,4440204,100,"Yes"
2020-07-05,"","",21,"Kentucky","African American",1607,85,349407,459.92,24.33,4440204,7.87,"No"
2020-07-05,"","",21,"Kentucky","White",8577,443,3764082,227.86,11.77,4440204,84.77,"Yes"
2020-07-05,"","",21,"Kentucky","Other Race",NA,NA,6057,NA,NA,4440204,0.14,"No"
2020-07-05,"","",21,"Kentucky","Hispanic",1927,22,158744,1213.9,13.86,4440204,3.58,"No"
2020-07-05,"","",22,"Louisiana","All Races Combined",65226,3288,4663616,1398.61,70.5,4663616,100,"Yes"
2020-07-05,"","",22,"Louisiana","African American",NA,1630,1492230,NA,109.23,4663616,32,"Yes"
2020-07-05,"","",22,"Louisiana","White",NA,1414,2744265,NA,51.53,4663616,58.84,"Yes"
2020-07-05,"","",22,"Louisiana","Other Race",NA,16,8905,NA,179.67,4663616,0.19,"No"
2020-07-05,"","",22,"Louisiana","Hispanic",NA,63,234920,NA,26.82,4663616,5.04,"No"
2020-07-05,"","",23,"Maine","All Races Combined",3415,109,1332813,256.22,8.18,1332813,100,"Yes"
2020-07-05,"","",23,"Maine","African American",803,2,16990,4726.31,11.77,1332813,1.27,"No"
2020-07-05,"","",23,"Maine","White",2009,94,1244525,161.43,7.55,1332813,93.38,"Yes"
2020-07-05,"","",23,"Maine","Other Race",93,1,843,11032.03,118.62,1332813,0.06,"No"
